2026-02-12 16:03:14,292 | INFO | httpx | HTTP Request: POST https://openiarag123.openai.azure.com/openai/deployments/text-embedding-ada-002/embeddings?api-version=2024-10-21 "HTTP/1.1 200 OK"
2026-02-12 16:03:14,618 | INFO | app.repository | [Cosmos] Chunk 3fe6eee76b3b0729c666a1b798aa3ca8_chunk_8 → indexed
2026-02-12 16:03:15,516 | INFO | app.repository | [Cosmos] Chunk 38736dba57ee2a5a479537fdeb71c1ea_chunk_0 → indexed
2026-02-12 16:03:15,723 | INFO | app.repository | [Cosmos] Chunk 38736dba57ee2a5a479537fdeb71c1ea_chunk_1 → indexed
2026-02-12 16:03:15,923 | INFO | app.repository | [Cosmos] Chunk 38736dba57ee2a5a479537fdeb71c1ea_chunk_2 → indexed
2026-02-12 16:03:16,125 | INFO | app.repository | [Cosmos] Chunk 38736dba57ee2a5a479537fdeb71c1ea_chunk_3 → indexed
2026-02-12 16:03:16,328 | INFO | app.repository | [Cosmos] Chunk 38736dba57ee2a5a479537fdeb71c1ea_chunk_4 → indexed
2026-02-12 16:03:16,536 | INFO | app.repository | [Cosmos] Chunk 38736dba57ee2a5a479537fdeb71c1ea_chunk_5 → indexed
2026-02-12 16:03:16,737 | INFO | app.repository | [Cosmos] Chunk 38736dba57ee2a5a479537fdeb71c1ea_chunk_6 → indexed
2026-02-12 16:03:16,941 | INFO | app.repository | [Cosmos] Chunk 38736dba57ee2a5a479537fdeb71c1ea_chunk_7 → indexed
2026-02-12 16:03:17,154 | INFO | app.repository | [Cosmos] Chunk 38736dba57ee2a5a479537fdeb71c1ea_chunk_8 → indexed
2026-02-12 16:03:19,034 | INFO | httpx | HTTP Request: POST https://openiarag123.openai.azure.com/openai/deployments/text-embedding-ada-002/embeddings?api-version=2024-10-21 "HTTP/1.1 200 OK"
2026-02-12 16:03:19,319 | INFO | app.repository | [Cosmos] Chunk 415f00d53b282428e7a6630f08a61b1b_chunk_0 → indexed
2026-02-12 16:03:19,527 | INFO | app.repository | [Cosmos] Chunk 415f00d53b282428e7a6630f08a61b1b_chunk_1 → indexed
